Running in CPU mode	
Epoch 1.59 / 35, i = 210 / 12460, loss = 2.120450	
Epoch 1.59 / 35, i = 211 / 12460, loss = 2.109451	
Epoch 1.60 / 35, i = 212 / 12460, loss = 2.096276	
Epoch 1.60 / 35, i = 213 / 12460, loss = 2.077573	
Epoch 1.60 / 35, i = 214 / 12460, loss = 2.074790	
Epoch 1.60 / 35, i = 215 / 12460, loss = 2.120313	
Epoch 1.61 / 35, i = 216 / 12460, loss = 2.133557	
Epoch 1.61 / 35, i = 217 / 12460, loss = 2.105424	
Epoch 1.61 / 35, i = 218 / 12460, loss = 2.095660	
Epoch 1.62 / 35, i = 219 / 12460, loss = 2.154917	
Epoch 1.62 / 35, i = 220 / 12460, loss = 2.166095	
Epoch 1.62 / 35, i = 221 / 12460, loss = 2.119043	
Epoch 1.62 / 35, i = 222 / 12460, loss = 2.035859	
Epoch 1.63 / 35, i = 223 / 12460, loss = 2.109473	
Epoch 1.63 / 35, i = 224 / 12460, loss = 2.060005	
Epoch 1.63 / 35, i = 225 / 12460, loss = 2.090185	
Epoch 1.63 / 35, i = 226 / 12460, loss = 2.086526	
Epoch 1.64 / 35, i = 227 / 12460, loss = 2.150981	
Epoch 1.64 / 35, i = 228 / 12460, loss = 2.099310	
Epoch 1.64 / 35, i = 229 / 12460, loss = 2.072346	
Epoch 1.65 / 35, i = 230 / 12460, loss = 2.092099	
Epoch 1.65 / 35, i = 231 / 12460, loss = 2.074517	
Epoch 1.65 / 35, i = 232 / 12460, loss = 2.083523	
Epoch 1.65 / 35, i = 233 / 12460, loss = 2.045117	
Epoch 1.66 / 35, i = 234 / 12460, loss = 2.071371	
Epoch 1.66 / 35, i = 235 / 12460, loss = 2.068887	
Epoch 1.66 / 35, i = 236 / 12460, loss = 2.063228	
Epoch 1.67 / 35, i = 237 / 12460, loss = 2.046957	
Epoch 1.67 / 35, i = 238 / 12460, loss = 2.052826	
Epoch 1.67 / 35, i = 239 / 12460, loss = 2.051329	
Epoch 1.67 / 35, i = 240 / 12460, loss = 2.060531	
Epoch 1.68 / 35, i = 241 / 12460, loss = 2.049488	
Epoch 1.68 / 35, i = 242 / 12460, loss = 2.027329	
Epoch 1.68 / 35, i = 243 / 12460, loss = 2.079209	
Epoch 1.69 / 35, i = 244 / 12460, loss = 2.024513	
Epoch 1.69 / 35, i = 245 / 12460, loss = 2.091307	
Epoch 1.69 / 35, i = 246 / 12460, loss = 2.039135	
Epoch 1.69 / 35, i = 247 / 12460, loss = 2.043969	
Epoch 1.70 / 35, i = 248 / 12460, loss = 2.037167	
Epoch 1.70 / 35, i = 249 / 12460, loss = 2.079167	
Epoch 1.70 / 35, i = 250 / 12460, loss = 2.050812	
Epoch 1.71 / 35, i = 251 / 12460, loss = 2.102961	
Epoch 1.71 / 35, i = 252 / 12460, loss = 2.103638	
Epoch 1.71 / 35, i = 253 / 12460, loss = 2.077158	
Epoch 1.71 / 35, i = 254 / 12460, loss = 2.049753	
Epoch 1.72 / 35, i = 255 / 12460, loss = 2.084682	
Epoch 1.72 / 35, i = 256 / 12460, loss = 2.047365	
Epoch 1.72 / 35, i = 257 / 12460, loss = 2.040576	
Epoch 1.72 / 35, i = 258 / 12460, loss = 2.058163	
Epoch 1.73 / 35, i = 259 / 12460, loss = 2.052285	
Epoch 1.73 / 35, i = 260 / 12460, loss = 2.050991	
Epoch 1.73 / 35, i = 261 / 12460, loss = 2.034461	
Epoch 1.74 / 35, i = 262 / 12460, loss = 2.074302	
Epoch 1.74 / 35, i = 263 / 12460, loss = 2.061818	
Epoch 1.74 / 35, i = 264 / 12460, loss = 2.000729	
Epoch 1.74 / 35, i = 265 / 12460, loss = 2.063188	
Epoch 1.75 / 35, i = 266 / 12460, loss = 2.012272	
Epoch 1.75 / 35, i = 267 / 12460, loss = 2.019056	
Epoch 1.75 / 35, i = 268 / 12460, loss = 2.014656	
Epoch 1.76 / 35, i = 269 / 12460, loss = 2.027922	
Epoch 1.76 / 35, i = 270 / 12460, loss = 2.043520	
Epoch 1.76 / 35, i = 271 / 12460, loss = 2.024598	
Epoch 1.76 / 35, i = 272 / 12460, loss = 2.049821	
Epoch 1.77 / 35, i = 273 / 12460, loss = 2.047144	
Epoch 1.77 / 35, i = 274 / 12460, loss = 2.016272	
Epoch 1.77 / 35, i = 275 / 12460, loss = 2.055124	
Epoch 1.78 / 35, i = 276 / 12460, loss = 2.035001	
Epoch 1.78 / 35, i = 277 / 12460, loss = 2.015619	
Epoch 1.78 / 35, i = 278 / 12460, loss = 2.010849	
Epoch 1.78 / 35, i = 279 / 12460, loss = 2.022950	
Epoch 1.79 / 35, i = 280 / 12460, loss = 2.022208	
Epoch 1.79 / 35, i = 281 / 12460, loss = 2.006003	
Epoch 1.79 / 35, i = 282 / 12460, loss = 2.008711	
Epoch 1.79 / 35, i = 283 / 12460, loss = 1.994783	
Epoch 1.80 / 35, i = 284 / 12460, loss = 2.030480	
Epoch 1.80 / 35, i = 285 / 12460, loss = 2.002030	
Epoch 1.80 / 35, i = 286 / 12460, loss = 2.027927	
Epoch 1.81 / 35, i = 287 / 12460, loss = 1.996606	
Epoch 1.81 / 35, i = 288 / 12460, loss = 2.003656	
Epoch 1.81 / 35, i = 289 / 12460, loss = 1.998870	
Epoch 1.81 / 35, i = 290 / 12460, loss = 2.020839	
Epoch 1.82 / 35, i = 291 / 12460, loss = 2.027897	
Epoch 1.82 / 35, i = 292 / 12460, loss = 1.957057	
Epoch 1.82 / 35, i = 293 / 12460, loss = 1.956854	
Epoch 1.83 / 35, i = 294 / 12460, loss = 2.003223	
Epoch 1.83 / 35, i = 295 / 12460, loss = 2.013771	
Epoch 1.83 / 35, i = 296 / 12460, loss = 1.986232	
Epoch 1.83 / 35, i = 297 / 12460, loss = 1.988364	
Epoch 1.84 / 35, i = 298 / 12460, loss = 1.953773	
Epoch 1.84 / 35, i = 299 / 12460, loss = 2.061185	
Epoch 1.84 / 35, i = 300 / 12460, loss = 1.983223	
val_loss = 	2.0449002954093	
Epoch 1.85 / 35, i = 301 / 12460, loss = 2.073724	
Epoch 1.85 / 35, i = 302 / 12460, loss = 2.021322	
Epoch 1.85 / 35, i = 303 / 12460, loss = 1.973134	
Epoch 1.85 / 35, i = 304 / 12460, loss = 1.972755	
Epoch 1.86 / 35, i = 305 / 12460, loss = 2.055908	
Epoch 1.86 / 35, i = 306 / 12460, loss = 2.016654	
Epoch 1.86 / 35, i = 307 / 12460, loss = 2.035964	
Epoch 1.87 / 35, i = 308 / 12460, loss = 2.020693	
Epoch 1.87 / 35, i = 309 / 12460, loss = 1.988346	
Epoch 1.87 / 35, i = 310 / 12460, loss = 1.990967	
Epoch 1.87 / 35, i = 311 / 12460, loss = 1.981550	
Epoch 1.88 / 35, i = 312 / 12460, loss = 1.968581	
Epoch 1.88 / 35, i = 313 / 12460, loss = 1.981396	
Epoch 1.88 / 35, i = 314 / 12460, loss = 1.946762	
Epoch 1.88 / 35, i = 315 / 12460, loss = 1.946836	
