Running in CPU mode	
Epoch 1.86 / 50, i = 306 / 17800, loss = 1.967020	
Epoch 1.86 / 50, i = 307 / 17800, loss = 1.964583	
Epoch 1.87 / 50, i = 308 / 17800, loss = 1.948942	
Epoch 1.87 / 50, i = 309 / 17800, loss = 1.926712	
Epoch 1.87 / 50, i = 310 / 17800, loss = 1.942669	
Epoch 1.87 / 50, i = 311 / 17800, loss = 1.909558	
Epoch 1.88 / 50, i = 312 / 17800, loss = 1.904997	
Epoch 1.88 / 50, i = 313 / 17800, loss = 1.912453	
Epoch 1.88 / 50, i = 314 / 17800, loss = 1.876750	
Epoch 1.88 / 50, i = 315 / 17800, loss = 1.885103	
Epoch 1.89 / 50, i = 316 / 17800, loss = 1.911116	
Epoch 1.89 / 50, i = 317 / 17800, loss = 1.939304	
Epoch 1.89 / 50, i = 318 / 17800, loss = 1.927074	
Epoch 1.90 / 50, i = 319 / 17800, loss = 1.925328	
Epoch 1.90 / 50, i = 320 / 17800, loss = 1.942866	
Epoch 1.90 / 50, i = 321 / 17800, loss = 1.914904	
Epoch 1.90 / 50, i = 322 / 17800, loss = 1.950285	
Epoch 1.91 / 50, i = 323 / 17800, loss = 1.937289	
Epoch 1.91 / 50, i = 324 / 17800, loss = 1.888181	
Epoch 1.91 / 50, i = 325 / 17800, loss = 1.922511	
Epoch 1.92 / 50, i = 326 / 17800, loss = 1.920000	
Epoch 1.92 / 50, i = 327 / 17800, loss = 1.897990	
Epoch 1.92 / 50, i = 328 / 17800, loss = 1.903381	
Epoch 1.92 / 50, i = 329 / 17800, loss = 1.889871	
Epoch 1.93 / 50, i = 330 / 17800, loss = 1.879042	
Epoch 1.93 / 50, i = 331 / 17800, loss = 1.932464	
Epoch 1.93 / 50, i = 332 / 17800, loss = 1.900988	
Epoch 1.94 / 50, i = 333 / 17800, loss = 1.985552	
Epoch 1.94 / 50, i = 334 / 17800, loss = 1.891747	
Epoch 1.94 / 50, i = 335 / 17800, loss = 1.902318	
Epoch 1.94 / 50, i = 336 / 17800, loss = 1.925771	
Epoch 1.95 / 50, i = 337 / 17800, loss = 1.897339	
Epoch 1.95 / 50, i = 338 / 17800, loss = 1.928561	
Epoch 1.95 / 50, i = 339 / 17800, loss = 1.855999	
Epoch 1.96 / 50, i = 340 / 17800, loss = 1.906479	
Epoch 1.96 / 50, i = 341 / 17800, loss = 1.911790	
